years_experience,education,skills_score,race,department,hired
7,PhD,98,Hispanic,HR,1
16,High School,57,White,Sales,0
1,Bachelor,54,Hispanic,HR,1
18,Bachelor,96,Black,HR,1
11,High School,77,White,Finance,1
3,High School,71,Asian,HR,0
6,Bachelor,86,Hispanic,Finance,0
11,PhD,69,Hispanic,Finance,1
6,Bachelor,56,White,Sales,0
3,PhD,86,Black,HR,1
13,Master,58,White,Finance,1
13,Bachelor,77,Asian,HR,1
3,Master,97,Black,Sales,0
6,High School,96,Hispanic,HR,1
5,High School,68,White,Engineering,1
13,Master,89,White,Engineering,1
14,Master,80,Black,Finance,1
14,Bachelor,73,White,Finance,1
18,Bachelor,56,Hispanic,HR,1
15,Bachelor,68,Black,Sales,1
7,Master,82,Hispanic,Finance,1
3,Bachelor,99,White,Finance,1
12,Bachelor,50,Asian,HR,1
18,Bachelor,85,Hispanic,Finance,1
19,Bachelor,92,Hispanic,Sales,1
5,Master,97,White,HR,1
5,Master,71,Black,Engineering,1
1,Bachelor,55,White,HR,0
3,Bachelor,63,White,Engineering,1
11,Bachelor,92,Black,Sales,1
11,Master,93,Hispanic,HR,1
8,Master,81,Asian,Finance,1
6,High School,56,White,HR,1
16,High School,56,White,Finance,1
9,Bachelor,73,Black,Finance,1
16,High School,79,White,Sales,1
19,Master,51,White,Engineering,1
7,Bachelor,84,Black,Engineering,1
4,High School,77,White,Sales,1
19,PhD,50,Black,Engineering,1
13,High School,54,White,Finance,1
6,Bachelor,72,Hispanic,HR,0
12,High School,86,Hispanic,HR,1
10,High School,91,White,Sales,1
18,High School,71,Hispanic,HR,0
5,High School,64,Hispanic,HR,1
19,High School,98,White,HR,1
18,High School,72,White,Sales,1
4,Bachelor,65,Black,Sales,0
4,Master,72,White,HR,1
11,Bachelor,50,White,Engineering,1
1,Bachelor,65,White,Sales,0
6,Bachelor,75,Hispanic,Engineering,0
9,Master,95,Black,HR,1
19,Master,86,Hispanic,Finance,1
19,High School,89,Hispanic,Engineering,1
3,High School,77,Black,Engineering,0
17,Bachelor,55,Black,Finance,0
2,Bachelor,69,White,Finance,1
15,Bachelor,99,White,HR,1
17,Bachelor,52,Black,Sales,1
17,High School,93,Black,HR,0
5,Bachelor,84,Black,Sales,1
17,Bachelor,64,Hispanic,HR,1
3,High School,88,Black,Engineering,0
10,Master,91,Black,Engineering,1
9,High School,52,Black,Engineering,0
7,PhD,55,White,Sales,1
1,High School,83,White,HR,1
15,Master,99,White,Engineering,1
7,PhD,51,White,Sales,1
13,PhD,83,White,Engineering,1
8,Master,56,Hispanic,HR,1
8,Master,82,White,Finance,1
17,Bachelor,81,White,HR,1
2,Master,54,White,Finance,1
14,High School,84,White,Finance,0
15,Bachelor,94,Black,HR,0
8,Bachelor,93,Black,Engineering,0
5,Master,51,Hispanic,HR,1
1,Bachelor,62,Black,Finance,1
18,Bachelor,62,White,Finance,1
19,Bachelor,72,Hispanic,Sales,1
5,Bachelor,57,White,HR,1
1,High School,92,White,Sales,1
3,Bachelor,88,White,Engineering,1
2,Bachelor,90,Hispanic,HR,1
16,Bachelor,59,Black,Engineering,1
17,Bachelor,50,White,Engineering,1
3,Bachelor,95,Black,Finance,0
15,Bachelor,64,White,Engineering,0
4,Bachelor,82,Black,HR,1
7,Master,95,White,Sales,1
12,Bachelor,51,White,Engineering,0
14,PhD,50,White,HR,1
17,PhD,50,Black,Finance,1
1,Bachelor,57,White,Sales,1
4,Bachelor,52,White,Finance,1
6,Bachelor,90,White,Finance,1
6,Master,80,Asian,Engineering,1
19,Master,99,Asian,HR,1
15,Master,90,Black,Sales,1
7,Bachelor,98,White,Finance,1
19,Bachelor,61,Asian,HR,0
10,Bachelor,64,Hispanic,Finance,1
10,Master,92,Hispanic,Finance,1
9,Bachelor,62,White,Sales,1
3,Master,52,White,Engineering,1
18,Master,83,White,Sales,1
1,High School,90,Asian,HR,1
4,Bachelor,98,Black,Finance,1
5,High School,96,White,Sales,1
6,Master,56,White,HR,0
3,High School,88,Black,HR,1
1,PhD,92,White,HR,1
13,High School,84,Hispanic,Sales,1
19,PhD,90,Hispanic,Finance,1
3,Master,91,Hispanic,Finance,1
6,Bachelor,72,White,Sales,1
10,Master,52,Black,Sales,1
18,Master,72,Black,Engineering,1
14,PhD,60,Black,Sales,0
15,Bachelor,55,White,Finance,1
12,Bachelor,56,White,HR,1
8,High School,84,White,HR,0
4,Bachelor,75,Black,Engineering,0
17,High School,76,White,Finance,1
16,Bachelor,87,White,Engineering,1
1,Bachelor,77,White,Finance,0
14,Bachelor,81,Black,Sales,1
2,Bachelor,54,White,Sales,1
15,Master,92,Asian,Finance,1
16,Master,72,Black,Sales,1
3,Bachelor,57,White,HR,1
9,Bachelor,90,Black,Finance,0
3,PhD,86,White,HR,1
11,High School,52,Asian,Finance,1
18,High School,59,Black,Sales,1
2,High School,50,Hispanic,HR,0
8,Master,63,White,Sales,1
19,Bachelor,54,Black,Finance,0
6,Master,85,Black,Engineering,1
3,Master,76,Asian,Engineering,1
10,Bachelor,99,Black,Finance,1
10,Master,87,Black,Engineering,1
13,Master,80,White,HR,1
6,Bachelor,75,White,HR,1
19,Bachelor,52,Black,Finance,1
10,Bachelor,53,White,Finance,0
6,High School,80,White,Finance,1
