age,income,credit_score,employment_years,loan_amount,gender,race,approved
34,52000,680,5,25000,Male,White,1
28,38000,620,2,15000,Female,Black,0
45,75000,740,12,50000,Male,White,1
31,41000,650,3,20000,Female,Hispanic,0
52,90000,780,20,80000,Male,White,1
26,32000,600,1,12000,Female,Black,0
38,61000,710,8,35000,Male,White,1
29,39000,630,3,18000,Female,Hispanic,0
47,82000,760,15,60000,Male,Asian,1
33,48000,670,6,22000,Female,White,1
41,68000,720,10,40000,Male,Black,1
27,35000,610,2,14000,Female,Hispanic,0
55,95000,790,22,90000,Male,White,1
30,42000,645,4,19000,Female,Black,0
43,72000,735,11,48000,Male,White,1
25,30000,595,1,11000,Female,Hispanic,0
48,85000,765,16,65000,Male,Asian,1
35,55000,685,6,28000,Female,White,1
39,65000,715,9,38000,Male,Black,0
32,44000,655,5,21000,Female,White,0
50,88000,775,18,75000,Male,White,1
28,36000,615,2,13000,Female,Black,0
44,74000,738,12,52000,Male,Hispanic,1
31,40000,640,3,17000,Female,Asian,1
56,97000,795,24,95000,Male,White,1
29,37000,625,2,16000,Female,Black,0
42,70000,725,10,45000,Male,White,1
26,31000,598,1,10000,Female,Hispanic,0
49,86000,768,17,68000,Male,White,1
36,57000,690,7,30000,Female,Black,0
40,67000,718,9,42000,Male,Asian,1
27,33000,605,1,12500,Female,White,0
53,92000,782,21,85000,Male,White,1
30,40000,638,3,16500,Female,Hispanic,0
46,79000,752,14,58000,Male,Black,1
34,50000,675,5,24000,Female,White,1
51,89000,772,19,78000,Male,White,1
28,35500,612,2,13500,Female,Black,0
43,71000,730,11,47000,Male,Hispanic,1
32,45000,658,5,22500,Female,White,0
57,98000,798,25,98000,Male,White,1
29,38500,628,3,17500,Female,Black,0
44,73000,736,12,50000,Male,White,1
33,47000,665,6,23000,Female,Asian,1
52,91000,780,20,82000,Male,White,1
27,34000,608,2,13000,Female,Hispanic,0
41,69000,722,10,44000,Male,Black,1
35,54000,682,6,27000,Female,White,1
48,84000,762,16,63000,Male,White,1
30,41500,643,4,19500,Female,Black,0
37,60000,705,8,33000,Male,Asian,1
26,30500,597,1,10500,Female,Hispanic,0
54,93000,785,22,88000,Male,White,1
31,42500,648,4,20000,Female,Black,0
45,76000,742,13,53000,Male,White,1
28,36500,618,2,14500,Female,Hispanic,0
50,87000,770,18,72000,Male,White,1
34,51000,678,5,25500,Female,White,1
39,64000,713,9,39000,Male,Black,1
32,43000,652,5,20500,Female,White,0
55,94000,788,23,92000,Male,White,1
29,37500,622,2,15500,Female,Black,0
46,78000,748,14,56000,Male,Hispanic,1
33,49000,672,6,23500,Female,White,1
53,92500,783,21,86000,Male,White,1
27,33500,607,1,12000,Female,Black,0
42,70500,727,10,46000,Male,White,1
36,56000,688,7,29000,Female,Asian,1
49,85500,766,17,67000,Male,White,1
30,41000,641,3,18000,Female,Hispanic,0
40,66000,716,9,41000,Male,Black,0
27,32500,602,1,11500,Female,White,0
56,96000,793,24,94000,Male,White,1
29,38000,626,2,16000,Female,Black,0
44,72500,733,12,49000,Male,White,1
31,43000,650,4,20000,Female,Hispanic,0
51,88500,773,19,79000,Male,White,1
35,53000,680,6,26500,Female,Black,0
47,81000,758,15,62000,Male,Asian,1
33,46000,662,5,22000,Female,White,1
52,90500,779,20,81000,Male,White,1
28,35000,613,2,13000,Female,Hispanic,0
43,71500,728,11,46500,Male,Black,1
36,55000,685,7,28500,Female,White,0
50,87500,771,18,74000,Male,White,1
30,40500,639,3,17500,Female,Black,0
41,68500,720,10,43000,Male,White,1
26,30000,596,1,10000,Female,Hispanic,0
54,93500,786,22,89000,Male,White,1
32,44500,656,5,21500,Female,Asian,1
48,83500,761,16,61000,Male,Black,1
35,53500,683,6,27500,Female,White,1
53,91500,781,21,84000,Male,White,1
27,33000,604,1,11500,Female,Hispanic,0
42,69500,723,10,44500,Male,White,1
34,50500,676,5,24500,Female,Black,0
49,86000,767,17,66000,Male,White,1
31,41500,644,4,19000,Female,White,1
